#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 27 14 24 250  2.6  3.1    MM    MM    MM  MM 1006.0  -4.1    MM  -4.7   MM   MM    MM
2023 09 27 14 14 250  2.1  3.1    MM    MM    MM  MM 1006.0  -4.1    MM  -4.6   MM   MM    MM
2023 09 27 14 04 250  3.1  3.6    MM    MM    MM  MM 1006.0  -4.0    MM  -4.5   MM   MM    MM
2023 09 27 13 54 240  2.6  3.6    MM    MM    MM  MM 1006.0  -4.1    MM  -4.4   MM   MM    MM
2023 09 27 13 44 240  2.6  3.1    MM    MM    MM  MM 1006.0  -3.9    MM  -4.2   MM   MM    MM
2023 09 27 13 34 240  2.1  3.1    MM    MM    MM  MM 1005.9  -3.8    MM  -4.0   MM   MM    MM
2023 09 27 13 24 250  2.6  2.6    MM    MM    MM  MM 1006.0  -3.7    MM  -3.8   MM   MM    MM
2023 09 27 13 14 230  1.5  2.6    MM    MM    MM  MM 1006.0  -3.5    MM  -3.5   MM   MM    MM
2023 09 27 13 04 240  1.5  2.6    MM    MM    MM  MM 1005.9  -3.2    MM  -3.3   MM   MM    MM
2023 09 27 12 54 260  2.6  3.1    MM    MM    MM  MM 1005.9  -2.8    MM  -3.0   MM   MM    MM
2023 09 27 12 44 270  2.6  2.6    MM    MM    MM  MM 1005.8  -2.6    MM  -2.7   MM   MM    MM
2023 09 27 12 34 260  2.1  2.6    MM    MM    MM  MM 1005.9  -2.4    MM  -2.7   MM   MM    MM
2023 09 27 12 24 270  2.6  3.6    MM    MM    MM  MM 1005.9  -1.5    MM  -2.5   MM   MM    MM
2023 09 27 12 14 270  3.6  4.1    MM    MM    MM  MM 1005.9  -1.1    MM  -2.3   MM   MM    MM
2023 09 27 12 04 270  3.1  3.6    MM    MM    MM  MM 1005.8  -1.5    MM  -2.2   MM   MM    MM
2023 09 27 11 54 280  3.6  4.1    MM    MM    MM  MM 1005.8  -1.6    MM  -2.2   MM   MM    MM
2023 09 27 11 44 280  3.6  3.6    MM    MM    MM  MM 1005.8  -1.4    MM  -2.2   MM   MM    MM
2023 09 27 11 34 280  3.1  3.6    MM    MM    MM  MM 1005.8  -1.2    MM  -2.1   MM   MM    MM
2023 09 27 11 24 280  3.1  3.6    MM    MM    MM  MM 1005.8  -1.6    MM  -2.1   MM   MM    MM
2023 09 27 11 14 280  3.1  3.6    MM    MM    MM  MM 1005.8  -1.9    MM  -2.2   MM   MM    MM
2023 09 27 11 04 280  3.1  3.6    MM    MM    MM  MM 1005.7  -2.0    MM  -2.3   MM   MM    MM
