#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 20 22 00  MM   MM   MM    MM    MM    MM  MM 1015.6  28.5    MM  17.7   MM -1.1    MM
2023 09 20 21 00  MM   MM   MM    MM    MM    MM  MM 1016.0  28.9    MM  17.9   MM -2.0    MM
2023 09 20 20 00  MM   MM   MM    MM    MM    MM  MM 1016.3  29.2    MM  17.2   MM -1.8    MM
2023 09 20 19 00  MM   MM   MM    MM    MM    MM  MM 1016.7  29.0    MM  17.2   MM -1.8    MM
2023 09 20 18 00  MM   MM   MM    MM    MM    MM  MM 1018.0  28.2    MM  16.7   MM -0.4    MM
2023 09 20 17 00  MM   MM   MM    MM    MM    MM  MM 1018.1  27.8    MM  17.5   MM -0.4    MM
2023 09 20 16 00  MM   MM   MM    MM    MM    MM  MM 1018.5  27.4    MM  18.1   MM +0.3    MM
2023 09 20 15 00  MM   MM   MM    MM    MM    MM  MM 1018.4  26.6    MM  17.7   MM +0.8    MM
2023 09 20 14 00  MM   MM   MM    MM    MM    MM  MM 1018.5  25.7    MM  19.1   MM +1.4    MM
2023 09 20 13 00  MM   MM   MM    MM    MM    MM  MM 1018.2  23.5    MM  20.1   MM +1.3    MM
2023 09 20 12 00  MM   MM   MM    MM    MM    MM  MM 1017.6  20.8    MM  20.1   MM +0.9    MM
2023 09 20 11 00  MM   MM   MM    MM    MM    MM  MM 1017.1  20.6    MM  19.8   MM +0.0    MM
2023 09 20 10 00  MM   MM   MM    MM    MM    MM  MM 1016.9  21.0    MM  20.0   MM +0.0    MM
2023 09 20 09 00  MM   MM   MM    MM    MM    MM  MM 1016.7  21.2    MM  19.9   MM -0.3    MM
2023 09 20 08 00  MM   MM   MM    MM    MM    MM  MM 1016.9  21.8    MM  20.0   MM -0.6    MM
2023 09 20 07 00  MM   MM   MM    MM    MM    MM  MM 1016.9  22.4    MM  19.9   MM -0.6    MM
2023 09 20 06 00  MM   MM   MM    MM    MM    MM  MM 1017.0  22.4    MM  19.8   MM -0.6    MM
2023 09 20 05 00  MM   MM   MM    MM    MM    MM  MM 1017.5  22.3    MM  18.9   MM +0.4    MM
2023 09 20 04 00  MM   MM   MM    MM    MM    MM  MM 1017.5  23.1    MM  18.5   MM +0.9    MM
2023 09 20 03 00  MM   MM   MM    MM    MM    MM  MM 1017.6  24.3    MM  18.1   MM +1.5    MM
2023 09 20 02 00  MM   MM   MM    MM    MM    MM  MM 1017.1  24.0    MM  16.4   MM +1.4    MM
2023 09 20 01 00  MM   MM   MM    MM    MM    MM  MM 1016.6  25.1    MM  17.8   MM +1.4    MM
2023 09 20 00 00  MM   MM   MM    MM    MM    MM  MM 1016.1  27.3    MM  16.3   MM +0.8    MM
2023 09 19 23 00  MM   MM   MM    MM    MM    MM  MM 1015.7  29.5    MM  18.9   MM -0.0    MM
2023 09 19 22 00  MM   MM   MM    MM    MM    MM  MM 1015.2  29.1    MM  18.0   MM -0.9    MM
2023 09 19 21 00  MM   MM   MM    MM    MM    MM  MM 1015.3  28.6    MM  17.8   MM -1.6    MM
2023 09 19 20 00  MM   MM   MM    MM    MM    MM  MM 1015.7  29.7    MM  16.5   MM -2.1    MM
2023 09 19 19 00  MM   MM   MM    MM    MM    MM  MM 1016.1  31.1    MM  16.4   MM -2.0    MM
2023 09 19 18 00  MM   MM   MM    MM    MM    MM  MM 1016.9  29.8    MM  12.9   MM -1.6    MM
2023 09 19 17 00  MM   MM   MM    MM    MM    MM  MM 1017.8  28.8    MM  13.5   MM -0.5    MM
2023 09 19 16 00  MM   MM   MM    MM    MM    MM  MM 1018.1  27.9    MM  13.6   MM +0.3    MM
2023 09 19 15 00  MM   MM   MM    MM    MM    MM  MM 1018.5  27.3    MM  12.8   MM +1.1    MM
2023 09 19 14 00  MM   MM   MM    MM    MM    MM  MM 1018.3  25.2    MM  15.2   MM +1.4    MM
2023 09 19 13 00  MM   MM   MM    MM    MM    MM  MM 1017.8  22.5    MM  17.8   MM +1.3    MM
2023 09 19 12 00  MM   MM   MM    MM    MM    MM  MM 1017.4  19.7    MM  17.3   MM +1.2    MM
2023 09 19 11 00  MM   MM   MM    MM    MM    MM  MM 1016.9  19.3    MM  16.7   MM +0.7    MM
2023 09 19 10 00  MM   MM   MM    MM    MM    MM  MM 1016.5  19.3    MM  16.5   MM +0.3    MM
2023 09 19 09 00  MM   MM   MM    MM    MM    MM  MM 1016.2  19.9    MM  16.6   MM -0.3    MM
2023 09 19 08 00  MM   MM   MM    MM    MM    MM  MM 1016.2  20.6    MM  16.3   MM -0.3    MM
